trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,Ref Number,comment_txt
10,BIOL,331,A,ECOLOGY,4,,T,,R,,8:00:00 AM,9:15:00 AM,Wood,92,BIOL 234
10,BIOL,331,L,LABORATORY,0,M,,,,,2:00:00 PM,4:59:00 PM,Wood,93,BIOL 234  LAB FEE
30,BIOL,334,A,BIOCHEMISTRY FOR BIOLOGY,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Pazehoski,94,BIOL 101 102 CHEM 241
10,BIOL,341,A,HUMAN/MAMMALIAN ANATOMY,4,M,,W,,F,12:00:00 PM,12:50:00 PM,Farone,95,BIOL 234
10,BIOL,341,L,LABORATORY,0,M,,,,,1:00:00 PM,2:59:00 PM,Farone,96,LAB FEE
10,BIOL,341,M,LABORATORY,0,M,,,,,3:00:00 PM,4:59:00 PM,Farone,97,LAB FEE
10,BIOL,341,N,LABORATORY,0,,,W,,,1:00:00 PM,2:59:00 PM,Farone,98,LAB FEE
30,BIOL,346,A,HUMAN/MAMMALIAN PHYSIOLOGY,4,M,,W,,F,11:00:00 AM,11:50:00 AM,Farone,99,BIOL 234
30,BIOL,346,L,LABORATORY,0,,,W,,,3:00:00 PM,4:59:00 PM,Antoszewski,100,
30,BIOL,346,M,LABORATORY,0,,T,,,,3:00:00 PM,4:59:00 PM,Farone,101,
30,BIOL,372,A,CONTEMPORARY TOPICS,1,,T,,,,1:00:00 PM,1:50:00 PM,Jenkins,102,BIOL 234
10,BIOL,390,A,STUDY: MEDICAL GENETICS,4,,T,,R,,10:05:00 AM,11:20:00 AM,Yowler,103,BIOL 233 234
10,BIOL,390,L,LABORATORY,0,,,,R,,2:30:00 PM,5:30:00 PM,Yowler,104,LAB FEE
10,BIOL,403,A,BASIS OF WILDLIFE BEHAVIOR,3,M,,W,,F,8:00:00 AM,8:50:00 AM,Wood,105,BIOL 234
10,BIOL,407,A,MICROBIOLOGY,4,,T,,R,,8:00:00 AM,9:15:00 AM,Stauff,106,BIOL 234
10,BIOL,407,L,LABORATORY,0,,T,,R,,1:00:00 PM,2:30:00 PM,Stauff,107,LAB FEE
10,BIOL,407,L,LABORATORY,0,,T,,R,,1:00:00 PM,2:30:00 PM,Stauff,108,LAB FEE
10,BIOL,407,M,LABORATORY,0,,T,,R,,3:00:00 PM,4:30:00 PM,Stauff,109,LAB FEE
10,BIOL,407,M,LABORATORY,0,,T,,R,,3:00:00 PM,4:30:00 PM,Stauff,110,LAB FEE
10,BIOL,409,A,ENTOMOLOGY,4,M,,W,,F,9:00:00 AM,9:50:00 AM,Jenkins,111,BIOL 234
10,BIOL,409,L,LABORATORY,0,,,,R,,2:30:00 PM,5:30:00 PM,Jenkins,112,LAB FEE
30,BIOL,488,A,SEMINAR IN BIOLOGY,1,,,W,,,2:00:00 PM,2:50:00 PM,Yowler,113,SR STATUS
10,BIOL,488,A,SEMINAR IN BIOLOGY,1,,,,,F,1:00:00 PM,1:50:00 PM,Jenkins,114,SR STATUS
30,BIOL,488,B,SEMINAR IN BIOLOGY,1,,T,,,,2:00:00 PM,2:50:00 PM,Antoszewski,115,SR STATUS
10,BIOL,488,B,SEMINAR IN BIOLOGY,1,,,,,F,2:00:00 PM,2:50:00 PM,Yowler,116,SR STATUS
10,CHEM,105,A,CHEMISTRY FOR ENGINEERS,4,M,,W,,F,8:00:00 AM,8:50:00 AM,Falcetta,117,Online Materials Fee
10,CHEM,105,B,CHEMISTRY FOR ENGINEERS,4,M,,W,,F,9:00:00 AM,9:50:00 AM,Falcetta,118,Online Materials Fee
10,CHEM,105,L,LABORATORY,0,M,,,,,1:00:00 PM,2:59:00 PM,Falcetta,119,LAB FEE
10,CHEM,105,M,LABORATORY,0,M,,,,,3:00:00 PM,4:59:00 PM,Falcetta,120,LAB FEE
10,CHEM,105,N,LABORATORY,0,,T,,,,1:30:00 PM,3:29:00 PM,Falcetta,121,LAB FEE
10,CHEM,105,O,LABORATORY,0,,T,,,,3:30:00 PM,5:30:00 PM,Falcetta,122,LAB FEE
10,CHEM,111,A,GENERAL CHEMISTRY I,3,M,,W,,F,10:00:00 AM,10:50:00 AM,Guevara,123,Online materials fee
10,CHEM,111,B,GENERAL CHEMISTRY I,3,M,,W,,F,11:00:00 AM,11:50:00 AM,Guevara,124,Online materials fee
30,CHEM,111,O,GENERAL CHEMISTRY I,3,,,,,,,,Guevara,125,Online Materials Fee
30,CHEM,112,A,GENERAL CHEMISTRY II,3,M,,W,,F,10:00:00 AM,10:50:00 AM,Homan,126,CHM 111 or 105; Online Mat Fee
30,CHEM,112,B,GENERAL CHEMISTRY II,3,M,,W,,F,11:00:00 AM,11:50:00 AM,Kriley,127,CHM 111 or 105; Online Mat Fee
10,CHEM,113,L,GENERAL CHEMISTRY I LAB,1,,,W,,,2:00:00 PM,4:59:00 PM,Guevara,128,CHEM 111; LAB FEE
10,CHEM,113,M,GENERAL CHEMISTRY I LAB,1,,,,R,,10:05:00 AM,12:59:00 PM,Kriley,129,CHEM 111; LAB FEE
10,CHEM,113,N,GENERAL CHEMISTRY I LAB,1,,,,R,,2:30:00 PM,5:29:00 PM,Guevara,130,CHEM 111; LAB FEE
10,CHEM,113,O,GENERAL CHEMISTRY I LAB,1,,,,,F,2:00:00 PM,4:59:00 PM,Guevara,131,CHEM 111; LAB FEE
30,CHEM,114,L,GENERAL CHEMISTRY II LAB,1,,,W,,,2:00:00 PM,4:59:00 PM,Kriley,132,CHM 113/105; CHM 112 LAB FEE
30,CHEM,114,M,GENERAL CHEMISTRY II LAB,1,,,,R,,10:05:00 AM,12:59:00 PM,Guevara,133,CHM 113/105; CHM 112 LAB FEE
30,CHEM,114,N,GENERAL CHEMISTRY II LAB,1,,,,R,,2:30:00 PM,5:29:00 PM,Kriley,134,CHM 113/105; CHM 112 LAB FEE
30,CHEM,190,O,STUDY: INTRO TO FORENSIC SCIENCE,3,,,,,,,,Wong,135,Online Materials Fee
10,CHEM,227,A,ANALYTICAL CHEMISTRY,4,M,,W,,F,10:00:00 AM,10:50:00 AM,Wong,136,CHEM 112 and 114
10,CHEM,227,L,LABORATORY,0,,T,,,,2:30:00 PM,5:29:00 PM,Wong,137,LAB FEE
10,CHEM,227,M,LABORATORY,0,,,W,,,2:00:00 PM,4:59:00 PM,Wong,138,LAB FEE
30,CHEM,231,A,DESC INORG/BIOINORG CHEMISTRY,2,,T,,R,,10:05:00 AM,10:55:00 AM,Kriley,139,CHEM 112 and 114 or CHEM 105
10,CHEM,235,A,CHEMISTRY IN CONTEXT,1,M,,,,,1:00:00 PM,1:50:00 PM,Homan,140,CHEM 112 114 CHEM-BIOC MAJ
10,CHEM,241,A,ORGANIC CHEMISTRY I,4,M,,W,,F,8:00:00 AM,8:50:00 AM,Cramer,141,CHEM 112 and 114
10,CHEM,241,B,ORGANIC CHEMISTRY I,4,M,,W,,F,9:00:00 AM,9:50:00 AM,Homan,142,CHEM 112 and 114
10,CHEM,241,L,LABORATORY,0,,T,,,,2:30:00 PM,5:30:00 PM,Homan,143,LAB FEE
10,CHEM,241,M,LABORATORY,0,,,W,,,2:00:00 PM,4:59:00 PM,Homan,144,LAB FEE
10,CHEM,241,N,LABORATORY,0,,,,R,,10:05:00 AM,12:59:00 PM,Cramer,145,LAB FEE
10,CHEM,241,O,LABORATORY,0,,,,R,,2:30:00 PM,5:30:00 PM,Homan,146,LAB FEE
30,CHEM,242,A,ORGANIC CHEMISTRY II,4,M,,W,,F,8:00:00 AM,8:50:00 AM,Cramer,147,CHEM 241
30,CHEM,242,B,ORGANIC CHEMISTRY II,4,M,,W,,F,9:00:00 AM,9:50:00 AM,Cramer,148,CHEM 241
30,CHEM,242,L,LABORATORY,0,M,,,,,2:00:00 PM,4:59:00 PM,Cramer,149,CHEM/BIOCHEM MAJ LAB FEE
30,CHEM,242,M,LABORATORY,0,,T,,,,2:30:00 PM,5:30:00 PM,Cramer,150,CHEM/BIOCHEM MAJ LAB FEE
30,CHEM,242,N,LABORATORY,0,,,W,,,2:00:00 PM,4:59:00 PM,Homan,151,LAB FEE
30,CHEM,242,O,LABORATORY,0,,,,R,,2:30:00 PM,5:30:00 PM,Homan,152,LAB FEE
30,CHEM,245,A,INTRODUCTION TO MOLECULAR MODELING,2,,,,R,,2:30:00 PM,4:30:00 PM,Falcetta,153,CHEM 241 MATH 161
30,CHEM,342,A,PHYSICAL CHEM OF BIOLOGICAL SYSTEMS,4,M,,W,,F,10:00:00 AM,10:50:00 AM,Falcetta,154,CHEM 351 & MATH 162
30,CHEM,342,L,LABORATORY,0,,,W,,,2:00:00 PM,5:00:00 PM,Falcetta,155,LAB FEE
10,CHEM,345,A,MICROSCOPIC PHYSICAL CHEMISTRY:,4,M,,W,,F,11:00:00 AM,11:50:00 AM,Augspurger,156,CHEM 231 and MATH 261
10,CHEM,345,L,LABORATORY,0,M,,,,,2:00:00 PM,4:59:00 PM,Augspurger,157,LAB FEE
30,CHEM,346,A,MACROSCOPIC PHYSICAL CHEMISTRY:,4,M,,W,,F,11:00:00 AM,11:50:00 AM,Augspurger,158,CHM 112/114 or 105 & MATH 261
30,CHEM,346,L,LABORATORY,0,M,,,,,2:00:00 PM,4:59:00 PM,Augspurger,159,LAB FEE
10,CHEM,351,A,BIOCHEMISTRY I,4,M,,W,,F,8:00:00 AM,8:50:00 AM,Shaw,160,CHEM 242
10,CHEM,351,L,LABORATORY,0,,,W,,,2:00:00 PM,4:59:00 PM,Shaw,161,CHEM 242; LAB FEE
10,CHEM,351,M,LABORATORY,0,,,,R,,2:30:00 PM,5:29:00 PM,Shaw,162,CHEM 242; LAB FEE
30,CHEM,352,A,BIOCHEMISTRY II,4,M,,W,,F,9:00:00 AM,9:50:00 AM,Shaw,163,CHEM 351
30,CHEM,352,L,LABORATORY,0,M,,,,,1:00:00 PM,4:59:00 PM,Shaw,164,LAB FEE
10,CHEM,390,A,STUDY: INTRO TO CLINICAL MEDICINE,1,,T,,,,6:30:00 PM,8:10:00 PM,Bridger,165,JRSR  BIOL CHEM EX SCI MAJORS
30,CHEM,406,A,INSTRUMENTAL ANALYSIS,4,M,,W,,,10:00:00 AM,10:50:00 AM,Wong,166,CHEM 227
30,CHEM,406,L,LABORATORY,0,,T,,R,,2:30:00 PM,5:30:00 PM,Wong,167,LAB FEE
